namevalue,context_id,time_stamp,byhost,byv
"('ASP.NET_SessionId', 'qmhzkv32vyqsseubsfq5xrkz')",2,2,{'global.ib-ibi'},{26}
"('ASP.NET_SessionId', 'v2r01qcxkympaqbu1fuzmttn')",1,1,{'ib.mookie1'},{21}
"('ASP.NET_SessionId', 'v2r01qcxkympaqbu1fuzmttn')",2,2,{'ib.mookie1'},{26}
"('ATN', '1.1588341315.5646170740280007981.AYInk7_HjCO9ZsBdLIU')",1,2,"{'ad.atdmt', '.atdmt'}",{22}
"('ATN', '1.1588341315.5646170740280007981.AYInk7_HjCO9ZsBdLIU')",2,1,{'cx.atdmt'},{26}
"('B', 'b7f41fpfaoagq&b=3&s=06')",1,53,"{'pr-bh.ybp', 'cookiex.ngd', 'cms.analytics', 'beap-bc.yahoo', '.yahoo', 'ups.analytics', 'ads.yahoo'}","{24, 20, 21, 23}"
"('B', 'b7f41fpfaoagq&b=3&s=06')",2,28,"{'ads.yahoo', 'pr-bh.ybp', 'ups.analytics', '.yahoo'}","{26, 27}"
"('B', 'f31gchtfaob7n&b=3&s=o0')",2,16,"{'pr-bh.ybp', 'cookiex.ngd', 'beap-bc.yahoo', '.yahoo', 'ads.yahoo'}","{40, 41}"
"('B', 'f31gchtfaob7n&b=3&s=o0')",3,12,"{'sp.analytics', '.yahoo'}","{72, 73, 74, 75}"
"('CMDD', 'AAKdbQI*')",1,14,"{'dsum-sec.casalemedia', 'ssum-sec.casalemedia', 'dsum.casalemedia', '.casalemedia', 'a2718.casalemedia'}","{20, 22, 23}"
"('CMDD', 'AAKdbQI*')",2,4,"{'.casalemedia', 'a2767.casalemedia', 'as-sec.casalemedia'}","{37, 29}"
"('CMID', 'XqwqCtHM43gAAFXPqmUAAABE')",1,23,"{'dsum-sec.casalemedia', 'ssum-sec.casalemedia', 'as-sec.casalemedia', 'dsum.casalemedia', '.casalemedia', 'a2718.casalemedia'}","{19, 20, 22, 23}"
"('CMID', 'XqwqCtHM43gAAFXPqmUAAABE')",2,6,"{'.casalemedia', 'a2767.casalemedia', 'as-sec.casalemedia'}","{37, 29}"
"('CMRUM3', '835eac2a6d276018072662242538953645&275eac2a6d2760f22d0c1f-900e-4c1c-ba61-841bc375953c&285eac2a712760b323da65-057d-4280-a39b-97e5bb9d0e03&b05eac2a6d2760di_afb02741a6d44a27b16a6&585eac2a6d2760XqwqHQAAAD3gWgFU&2e5eac2a6d27607526883567168608467&2d5eac2a442760CAESEAHdSX8y7lfTcWdMTtzzG3M&495eac2a6905a00&c35eac2a6d2760av-c5874241-0311-40e0-bbfe-9ca2ee6fd217')",1,2,{'.casalemedia'},{23}
"('CMRUM3', '835eac2a6d276018072662242538953645&275eac2a6d2760f22d0c1f-900e-4c1c-ba61-841bc375953c&285eac2a712760b323da65-057d-4280-a39b-97e5bb9d0e03&b05eac2a6d2760di_afb02741a6d44a27b16a6&585eac2a6d2760XqwqHQAAAD3gWgFU&2e5eac2a6d27607526883567168608467&2d5eac2a442760CAESEAHdSX8y7lfTcWdMTtzzG3M&495eac2a6905a00&c35eac2a6d2760av-c5874241-0311-40e0-bbfe-9ca2ee6fd217')",2,1,{'a2767.casalemedia'},{29}
"('CMST', 'XqwqCl6sKnEC')",1,2,{'.casalemedia'},{23}
"('CMST', 'XqwqCl6sKnEC')",2,1,{'a2767.casalemedia'},{29}
"('CMSUM', '2e5eac2a6d27607526883567168608467')",1,4,"{'.casalemedia', 'dsum-sec.casalemedia'}",{23}
"('CMSUM', '2e5eac2a6d27607526883567168608467')",2,4,"{'.casalemedia', 'a2767.casalemedia', 'as-sec.casalemedia'}","{37, 29}"
"('EE', '""bb6852e62883251d2992dbe138850296""')",1,1,{'.exelator'},{23}
"('EE', '""bb6852e62883251d2992dbe138850296""')",2,4,{'.exelator'},{27}
"('EE', '\\bb6852e62883251d2992dbe138850296\\')",1,6,"{'loadus.exelator', 'cdn.exelator', 'mydmp.exelator'}","{24, 25, 23}"
"('EE', '\\bb6852e62883251d2992dbe138850296\\')",2,2,"{'loadus.exelator', 'loadm.exelator'}",{27}
"('GLOBALID', '2uKlc8-sIBd987FnJwDBYuT9fAwDX1X4c3M45XSyIbuOOb1sCIy40vzN5R5RZPZTImr2N87rRZQC4TM1')",1,4,{'bttrack.com'},"{21, 22}"
"('GLOBALID', '2uKlc8-sIBd987FnJwDBYuT9fAwDX1X4c3M45XSyIbuOOb1sCIy40vzN5R5RZPZTImr2N87rRZQC4TM1')",2,3,{'bttrack.com'},{29}
"('GUC', 'AQEBAQFerX5etkIfrgSu')",2,12,"{'pr-bh.ybp', 'cookiex.ngd', 'beap-bc.yahoo', '.yahoo', 'ads.yahoo'}","{40, 41}"
"('GUC', 'AQEBAQFerX5etkIfrgSu')",3,12,"{'sp.analytics', '.yahoo'}","{72, 73, 74, 75}"
"('GUC', 'AQEBAQFerXtetkIeZQSq')",1,39,"{'pr-bh.ybp', 'cookiex.ngd', 'cms.analytics', 'beap-bc.yahoo', '.yahoo', 'ups.analytics', 'ads.yahoo'}","{24, 20, 21, 23}"
"('GUC', 'AQEBAQFerXtetkIeZQSq')",2,22,"{'ads.yahoo', 'pr-bh.ybp', 'ups.analytics', '.yahoo'}","{26, 27}"
"('IDE', 'AHWqTUlSfPQmhrDdy6sME7fOAKONvXsefnx5oVvdvDng54IHFdQxDNHj5TVIvf7E')",2,109,"{'cm.g', 'securepubads.g', 'googleads.g', 'bid.g', 'stats.g', '.doubleclick'}","{40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50}"
"('IDE', 'AHWqTUlSfPQmhrDdy6sME7fOAKONvXsefnx5oVvdvDng54IHFdQxDNHj5TVIvf7E')",3,36,"{'cm.g', 'googleads.g', 'bid.g', 'stats.g', 'static.doubleclick'}","{64, 65, 66, 71, 72, 73, 74, 75, 51, 56, 61, 62, 63}"
"('IDE', 'AHWqTUm2w4rJv7-WWxNw9As9t9PsB6tmsP0IuJ9NZ169SNyj2VPHSxDe9klEysJl')",1,200,"{'cm.g', 'securepubads.g', 'googleads.g', 'ad.doubleclick', 'googleads4.g', 'bid.g', 'stats.g', '.doubleclick'}","{19, 20, 21, 22, 23, 24, 25}"
"('IDE', 'AHWqTUm2w4rJv7-WWxNw9As9t9PsB6tmsP0IuJ9NZ169SNyj2VPHSxDe9klEysJl')",2,132,"{'cm.g', 'securepubads.g', 'googleads.g', 'ad.doubleclick', 'bid.g', 'googleads4.g', 'stats.g'}","{32, 33, 34, 36, 37, 38, 39, 26, 27, 28, 29, 30, 31}"
"('INGRESSCOOKIE', '8d10a8b348c68dc9')",1,1,{'bh.contextweb'},{21}
"('INGRESSCOOKIE', '8d10a8b348c68dc9')",2,8,{'bh.contextweb'},"{37, 38, 26, 27, 28, 29, 30}"
"('JSESSIONID', '903d3253e2a76b4f')",1,2,"{'bam.nr-data', '.nr-data'}","{19, 20}"
"('JSESSIONID', '903d3253e2a76b4f')",2,6,{'bam.nr-data'},"{32, 33, 34, 35}"
"('JSESSIONID', 'bfa681626cbc5e23')",2,10,"{'bam.nr-data', '.nr-data'}","{41, 42, 43, 44, 45, 46}"
"('JSESSIONID', 'bfa681626cbc5e23')",3,18,{'bam.nr-data'},"{64, 65, 66, 67, 68, 69, 70, 71, 61, 62, 63}"
"('KADUSERCOOKIE', '3A2FB39F-CFC8-4617-A956-3C703F4509B7')",1,4,"{'image2.pubmatic', '.pubmatic', 'image6.pubmatic'}","{24, 23}"
"('KADUSERCOOKIE', '3A2FB39F-CFC8-4617-A956-3C703F4509B7')",2,29,"{'image4.pubmatic', 'image2.pubmatic', 'ads.pubmatic', '.pubmatic', 'simage2.pubmatic', 'image6.pubmatic'}","{26, 27}"
"('KRTBCOOKIE_80', '16514-CAESEG-FTBaj4COz4KKsJl4cvwQ&KRTB&22987-CAESEG-FTBaj4COz4KKsJl4cvwQ&KRTB&22995-CAESEG-FTBaj4COz4KKsJl4cvwQ&KRTB&23025-CAESEG-FTBaj4COz4KKsJl4cvwQ')",1,1,{'.pubmatic'},{24}
"('KRTBCOOKIE_80', '16514-CAESEG-FTBaj4COz4KKsJl4cvwQ&KRTB&22987-CAESEG-FTBaj4COz4KKsJl4cvwQ&KRTB&22995-CAESEG-FTBaj4COz4KKsJl4cvwQ&KRTB&23025-CAESEG-FTBaj4COz4KKsJl4cvwQ')",2,27,"{'image4.pubmatic', 'image2.pubmatic', 'ads.pubmatic', '.pubmatic', 'simage2.pubmatic', 'image6.pubmatic'}","{26, 27}"
"('MUID', '24348E915159688011AB802C50A46927')",1,2,"{'.bing', 'c.bing'}","{21, 22}"
"('MUID', '24348E915159688011AB802C50A46927')",2,17,"{'bat.bing', '.bing'}","{32, 33, 34, 35, 36, 31}"
"('PugT', '1588341415')",1,1,{'.pubmatic'},{24}
"('PugT', '1588341415')",2,21,"{'image4.pubmatic', 'image2.pubmatic', 'ads.pubmatic', 'simage2.pubmatic', 'image6.pubmatic'}",{26}
"('TDCPM', 'CAESFgoHcnViaWNvbhILCLL7t_um-LY4EAUSFAoFb3BlbngSCwiy5eWlp_i2OBAFEhYKB2QwdHJvMWoSCwjIpu3lp_i2OBAFEhYKB2JsdWVrYWkSCwjYmYvJqPi2OBAFEhQKBXRhcGFkEgsI0ITU26j4tjgQBRIVCgZjYXNhbGUSCwickcfprPi2OBAFGAEgAigCMgsI0PzWiL_4tjgQBTgBWgV0YXBhZGAC')",1,4,"{'match.adsrvr', '.adsrvr'}","{24, 25, 23}"
"('TDCPM', 'CAESFgoHcnViaWNvbhILCLL7t_um-LY4EAUSFAoFb3BlbngSCwiy5eWlp_i2OBAFEhYKB2QwdHJvMWoSCwjIpu3lp_i2OBAFEhYKB2JsdWVrYWkSCwjYmYvJqPi2OBAFEhQKBXRhcGFkEgsI0ITU26j4tjgQBRIVCgZjYXNhbGUSCwickcfprPi2OBAFGAEgAigCMgsI0PzWiL_4tjgQBTgBWgV0YXBhZGAC')",2,2,{'match.adsrvr'},{26}
"('TDID', 'f22d0c1f-900e-4c1c-ba61-841bc375953c')",1,29,"{'match.adsrvr', '.adsrvr'}","{19, 20, 21, 22, 23, 24, 25}"
"('TDID', 'f22d0c1f-900e-4c1c-ba61-841bc375953c')",2,23,"{'match.adsrvr', '.adsrvr'}","{26, 27, 28, 30}"
"('TapAd_DID', '58dfa4c1-8bb3-11ea-bf7f-828326ab2b81')",1,8,"{'.tapad', 'tapestry.tapad', 'pixel.tapad'}","{21, 23}"
"('TapAd_DID', '58dfa4c1-8bb3-11ea-bf7f-828326ab2b81')",2,6,"{'.tapad', 'pixel.tapad'}",{27}
"('TapAd_TS', '1588341299468')",1,8,"{'.tapad', 'tapestry.tapad', 'pixel.tapad'}","{21, 23}"
"('TapAd_TS', '1588341299468')",2,6,"{'.tapad', 'pixel.tapad'}",{27}
"('U', '98d7880ab4f009b2b99d3cf2fd8465b6')",1,14,"{'.adsymptotic', 'p.adsymptotic'}","{21, 22, 23, 24, 25}"
"('U', '98d7880ab4f009b2b99d3cf2fd8465b6')",2,6,"{'.adsymptotic', 'p.adsymptotic'}",{26}
"('U', 'f3e06fc62eee813444aa9bd44d25b62b')",2,7,"{'.adsymptotic', 'p.adsymptotic'}",{41}
"('U', 'f3e06fc62eee813444aa9bd44d25b62b')",3,11,"{'.adsymptotic', 'p.adsymptotic'}","{64, 65, 62, 63}"
"('UID', '17018427a45a1421a5555261588341258')",1,14,"{'.scorecardresearch', 'sb.scorecardresearch'}","{19, 20, 21, 22, 23, 24, 25}"
"('UID', '17018427a45a1421a5555261588341258')",2,20,"{'sb.scorecardresearch', 'sa.scorecardresearch'}","{32, 33, 34, 37, 39, 26, 27, 28, 29, 30, 31}"
"('UIDR', '1588341258')",1,14,"{'.scorecardresearch', 'sb.scorecardresearch'}","{19, 20, 21, 22, 23, 24, 25}"
"('UIDR', '1588341258')",2,20,"{'sb.scorecardresearch', 'sa.scorecardresearch'}","{32, 33, 34, 37, 39, 26, 27, 28, 29, 30, 31}"
"('V', 'VnuyV3ZbfKyb')",1,1,{'.contextweb'},{21}
"('V', 'VnuyV3ZbfKyb')",2,24,"{'bh.contextweb', '.contextweb'}","{37, 38, 26, 27, 28, 29, 30}"
"('_cc_aud', '\\ABR4nGNgYGCIW6OlwQAHABGiAV0%3D\\')",1,1,{'sync.crwdcntrl'},{23}
"('_cc_aud', '\\ABR4nGNgYGCIW6OlwQAHABGiAV0%3D\\')",2,3,"{'tags.crwdcntrl', 'bcp.crwdcntrl'}","{27, 30}"
"('_cc_cc', '\\ACZ4nGNQSDJKNrEwMjQxMDBJNTA3sjQ3TkkyS0lOTko1MDAwNkpkAIK4NVoaDAgAAEEmCe8%3D\\')",1,1,{'sync.crwdcntrl'},{23}
"('_cc_cc', '\\ACZ4nGNQSDJKNrEwMjQxMDBJNTA3sjQ3TkkyS0lOTko1MDAwNkpkAIK4NVoaDAgAAEEmCe8%3D\\')",2,3,"{'tags.crwdcntrl', 'bcp.crwdcntrl'}","{27, 30}"
"('_cc_id', 'b2c48214004e072973db6dccbe00032a')",1,2,"{'.crwdcntrl', 'sync.crwdcntrl'}","{21, 23}"
"('_cc_id', 'b2c48214004e072973db6dccbe00032a')",2,3,"{'tags.crwdcntrl', 'bcp.crwdcntrl'}","{27, 30}"
"('_dm_uid', 'eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJzaWQiOjEwMDAwLCJ1c3IiOiJxZ1l3c2dZYk1XSktSRTVLWkV4TVdERlFhek01VkU5aE0wRnpNbk16UTNOT3VnWURDS3BPdWdZRENLNU91Z1lEQ0xCTyIsImlhdCI6MTU4ODM0MTI2MX0.LVCI8QdwH8yAOqbLMyUif8De8wLCgJg5BuZ79bvTnIVrWDLD5hVuQTJFE41u_jG1zusYuZA5qjP8IXhkmWU0LQ')",1,13,"{'dmx.us-east-5', 'cdn.districtm', 'dmx.districtm', '.districtm'}","{19, 20, 21}"
"('_dm_uid', 'eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJzaWQiOjEwMDAwLCJ1c3IiOiJxZ1l3c2dZYk1XSktSRTVLWkV4TVdERlFhek01VkU5aE0wRnpNbk16UTNOT3VnWURDS3BPdWdZRENLNU91Z1lEQ0xCTyIsImlhdCI6MTU4ODM0MTI2MX0.LVCI8QdwH8yAOqbLMyUif8De8wLCgJg5BuZ79bvTnIVrWDLD5hVuQTJFE41u_jG1zusYuZA5qjP8IXhkmWU0LQ')",2,3,"{'cdn.districtm', 'dmx.districtm'}",{27}
"('_kuid_', 'NYJjK9iL')",1,36,"{'consumer.krxd', 'beacon.krxd', 'cdn.krxd', '.krxd', 'usermatch.krxd'}","{19, 20, 21, 22, 23, 25}"
"('_kuid_', 'NYJjK9iL')",2,3,"{'.krxd', 'beacon.krxd'}",{27}
"('_rxuuid', '%7B%22rx_uuid%22%3A%22RX-9bf7f180-bfe9-47dd-91bf-4549229bb17e-005%22%2C%22nxtrdr%22%3Afalse%7D')",1,3,"{'sync.1rx', '.1rx'}","{22, 23}"
"('_rxuuid', '%7B%22rx_uuid%22%3A%22RX-9bf7f180-bfe9-47dd-91bf-4549229bb17e-005%22%2C%22nxtrdr%22%3Afalse%7D')",2,4,"{'sync.1rx', '.1rx'}","{26, 27}"
"('_rxuuid', '%7B%22rx_uuid%22%3A%22RX-9bf7f180-bfe9-47dd-91bf-4549229bb17e-005%22%7D')",1,3,"{'sync.1rx', '.1rx'}","{21, 22}"
"('_rxuuid', '%7B%22rx_uuid%22%3A%22RX-9bf7f180-bfe9-47dd-91bf-4549229bb17e-005%22%7D')",2,4,"{'sync.1rx', '.1rx'}",{27}
"('ab', '0001%3AFn0nHs5NwVNdXeGXGhCWjDZOVCojwaS7')",1,4,"{'aa.agkn', '.agkn'}",{21}
"('ab', '0001%3AFn0nHs5NwVNdXeGXGhCWjDZOVCojwaS7')",2,3,"{'aa.agkn', '.agkn'}",{27}
"('ad-id', 'A45uM9jLqkQuuYy7VTmOFJk')",1,36,"{'s.amazon-adsystem', '.amazon-adsystem', 'c.amazon-adsystem'}","{19, 20, 21, 22, 23, 24, 25}"
"('ad-id', 'A45uM9jLqkQuuYy7VTmOFJk')",2,56,"{'s.amazon-adsystem', '.amazon-adsystem', 'c.amazon-adsystem'}","{36, 37, 38, 26, 27, 28, 29, 30}"
"('adtheorent-legacy[cuid]', 'cuid_85c1d121-8bb3-11ea-8569-12c731858e46')",1,2,"{'rtb.adentifi', '.adentifi'}",{23}
"('adtheorent-legacy[cuid]', 'cuid_85c1d121-8bb3-11ea-8569-12c731858e46')",2,1,{'rtb.adentifi'},{27}
"('adtheorent[cuid]', 'cuid_85c1d121-8bb3-11ea-8569-12c731858e46')",1,2,"{'rtb.adentifi', '.adentifi'}",{23}
"('adtheorent[cuid]', 'cuid_85c1d121-8bb3-11ea-8569-12c731858e46')",2,1,{'rtb.adentifi'},{27}
"('anj', ""dTM7k!M4/8F7/.XF']wIg2C$Somp3X!tL<Ae3oYo47YS#XstGtXt#r7!?UY*(0+a4"")",1,15,"{'ib.adnxs', 'sharethrough.adnxs', 'nym1-ib.adnxs', 'acdn.adnxs', 'cdn.adnxs', '.adnxs'}","{24, 25}"
"('anj', ""dTM7k!M4/8F7/.XF']wIg2C$Somp3X!tL<Ae3oYo47YS#XstGtXt#r7!?UY*(0+a4"")",2,3,"{'nym1-ib.adnxs', 'sharethrough.adnxs'}","{26, 27}"
"('audience', '98a4c4c0-8bb3-11ea-bca3-1d9f7f392201')",1,4,"{'sync.search', '.spotxchange'}",{24}
"('audience', '98a4c4c0-8bb3-11ea-bca3-1d9f7f392201')",2,3,"{'sync.search', '.spotxchange'}",{27}
"('audit', '1|mFVHqHkj5bH2tA61swo12kYBGrxLXkCS7viqpyHuzNk9Fq0YJqa2exI+GIMW9IqPCNzhw6vix23hlI2uKWkDtsxuhZpbWKLtHrqARQxmcjZNzmBpqKG5ew==')",1,8,"{'eus.rubiconproject', 's.update', '.rubiconproject', 'beacon-us-iad3.rubiconproject'}","{24, 23}"
"('audit', '1|mFVHqHkj5bH2tA61swo12kYBGrxLXkCS7viqpyHuzNk9Fq0YJqa2exI+GIMW9IqPCNzhw6vix23hlI2uKWkDtsxuhZpbWKLtHrqARQxmcjZNzmBpqKG5ew==')",2,4,"{'secure-assets.rubiconproject', 'eus.rubiconproject', 'pixel-us-east.rubiconproject'}",{27}
"('bito', 'AABFmU69WFQAABDDe4aIGQ')",1,1,{'.bidr'},{21}
"('bito', 'AABFmU69WFQAABDDe4aIGQ')",2,5,{'match.prod'},"{26, 27, 39}"
"('bku', 'ikG99Y/3gafB6I9L')",1,99,"{'.bluekai', 'stags.bluekai', 'tags.bluekai'}","{21, 22, 23, 24, 25}"
"('bku', 'ikG99Y/3gafB6I9L')",2,12,"{'.bluekai', 'stags.bluekai', 'tags.bluekai'}","{27, 29, 39}"
"('browser_data', 'XGRgm193OTZlQzdnSHpZZUNpbUc2NmFIcDY2TDdudlBzcXhSMXN6QUxsY2hHSjFJVHIyY01OZGslMkIlMkZlTk84U3h3em50b29wUTU4YTZOR1Q4U2dGU1B1eXBvYWclM0QlM0Q')",1,2,{'.dnacdn'},{25}
"('browser_data', 'XGRgm193OTZlQzdnSHpZZUNpbUc2NmFIcDY2TDdudlBzcXhSMXN6QUxsY2hHSjFJVHIyY01OZGslMkIlMkZlTk84U3h3em50b29wUTU4YTZOR1Q4U2dGU1B1eXBvYWclM0QlM0Q')",2,2,{'dnacdn.net'},{26}
"('c', '1588341261')",1,10,"{'.bidswitch', 'x.bidswitch'}","{24, 19, 21, 22}"
"('c', '1588341261')",2,6,"{'x.bidswitch', 'us-east-sync.bidswitch'}","{26, 27}"
"('c', '1588341356')",1,3,"{'t.myvisualiq', '.myvisualiq'}",{23}
"('c', '1588341356')",2,1,{'t.myvisualiq'},{37}
"('cu', '50c0f085-8bb3-11ea-8dcb-6dfb4eaae873|1588341285845')",1,4,"{'sync.ipredictive', '.ipredictive'}","{21, 22}"
"('cu', '50c0f085-8bb3-11ea-8dcb-6dfb4eaae873|1588341285845')",2,3,"{'sync.ipredictive', '.ipredictive'}",{27}
"('d', 'EHUBDwGqIIEOmvUA')",1,8,"{'.quantserve', 'pixel.quantserve', 'secure.quantserve'}","{24, 25}"
"('d', 'EHUBDwGqIIEOmvUA')",2,1,{'pixel.quantserve'},{27}
"('data-a', '7526883567168608467~~1')",1,402,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'lgncal.media', 'cvision.media', 'contextual.media', 'cs.media', 'hblg.media', 'coplg-w.media'}","{21, 22, 23, 24, 25}"
"('data-a', '7526883567168608467~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-adt', '6821881830051811416~~1')",1,318,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'cvision.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{24, 25, 22, 23}"
"('data-adt', '6821881830051811416~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-amb', '2363256606281464141~~1')",1,393,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'lgncal.media', 'cvision.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{21, 22, 23, 24, 25}"
"('data-amb', '2363256606281464141~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-b', '771a64b5-f666-4ca4-9828-32eb1545984b~~1')",1,393,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'lgncal.media', 'cvision.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{21, 22, 23, 24, 25}"
"('data-b', '771a64b5-f666-4ca4-9828-32eb1545984b~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-bs', 'de1edf2d-73a4-47bc-b136-4ae7063511b2~~1')",1,379,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'lgncal.media', 'cvision.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{21, 22, 23, 24, 25}"
"('data-bs', 'de1edf2d-73a4-47bc-b136-4ae7063511b2~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-bt', '771a64b5-f666-4ca4-9828-32eb1545984b~~1')",1,318,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'cvision.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{24, 25, 22, 23}"
"('data-bt', '771a64b5-f666-4ca4-9828-32eb1545984b~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-co', 'AAAGUZHkl8a3YgMwZAW3AAAAAAA~~1')",1,390,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'lgncal.media', 'cvision.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{21, 22, 23, 24, 25}"
"('data-co', 'AAAGUZHkl8a3YgMwZAW3AAAAAAA~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-di', 'di_afb02741a6d44a27b16a6~~1')",1,212,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'cvision.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{24, 25, 23}"
"('data-di', 'di_afb02741a6d44a27b16a6~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-dmx', 'eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJzaWQiOjEwMDA1LCJ1c3IiOiJxZ1llc2dZYk1XSktSRTVLWkV4TVdERlFhek01VkU5aE0wRnpNbk16UTNOTyJ9.mj8EUKlluohhYenv_uK4uxUlVjKE2fWWiXr4uCYCjBgGueZcE7iKYU_d9bLchzcGSt3PXe2U2I7dDLUPAuDCNQ~~1')",1,380,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'lgncal.media', 'cvision.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{21, 22, 23, 24, 25}"
"('data-dmx', 'eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJzaWQiOjEwMDA1LCJ1c3IiOiJxZ1llc2dZYk1XSktSRTVLWkV4TVdERlFhek01VkU5aE0wRnpNbk16UTNOTyJ9.mj8EUKlluohhYenv_uK4uxUlVjKE2fWWiXr4uCYCjBgGueZcE7iKYU_d9bLchzcGSt3PXe2U2I7dDLUPAuDCNQ~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
