Country,Authority,Date,Issued Fine?,Fine,Controller,QuotedArt,Type,Summary,Info
ITALY,Italian Data Protection Authority (Garante),8/10/20,Yes,10000,Cavauto S.R.L.,"Art. 5 GDPR, Art. 6 GDPR, Art. 7 GDPR",Insufficient legal basis for data processing,Access to personal data of a former employee (containing his browser history) on his work computer.,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9446730
SPAIN,Spanish Data Protection Authority (aepd),8/6/20,Yes,3000,Just Landed S.L.,Art. 13 GDPR,Insufficient fulfilment of information obligations,Just Landed was fined with EUR 3000 for insufficient cookie information according to national data protection laws and at the same time warned due to insufficient fulfilment of information obligations according to Art. 13 GDPR (privacy policy only in English language).,https://www.aepd.es/es/documento/ps-00036-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),8/6/20,Yes,3000,GROW BEATS SL,"Art. 12 GDPR, Art. 13 GDPR, Art. 14 GDPR",Insufficient fulfilment of information obligations,"The company had published a cookie policy on its website, which on the one hand contained no information about the purpose of the use of cookies and on the other hand no information about the properties of the installed cookies and the time period for which they remain active in the end user's terminal equipment.",https://www.aepd.es/es/documento/ps-00092-2020.pdf
ITALY,Italian Data Protection Authority (Garante),8/6/20,Yes,3000,GTL S.R.L.,"Art. 12 GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,Failure to graint access to personal data of a data subject according to Art. 15 GDPR.,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9445710
SPAIN,Spanish Data Protection Authority (aepd),8/5/20,Yes,3000,Restaurant,"Art. 5 (1) c) GDPR, Art. 12 GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,Installation of CCTV surveillance cameras that were also monitoring the public space and without proper information.,https://www.aepd.es/es/documento/ps-00479-2019.pdf
FRANCE,French Data Protection Authority (CNIL),8/5/20,Yes,250000,Spartoo,"Art. 5 (1) GDPR, Art. 13 GDPR, Art. 14 GDPR",Non-compliance with general data processing principles,"A fine of EUR 250000 was imposed on the online retailer Spartoo. The reason for this was that the company, which has its headquarters in France but supplies a large number of European countries, fully recorded all telephone hotline conversations (including personal data such as address and bank details of orders) and in addition stored bank details partially unencrypted. Among other things, this represents a violation of the principle of data minimization. Furthermore, the supervisory authority also found a violation of the information obligations according to Art. 13 GDPR, as the company's data protection information was partially incorrect.",https://www.cnil.fr/fr/spartoo-sanction-de-250-000-euros-et-injonction-sous-astreinte-de-se-conformer-au-rgpd
FINLAND,Deputy Data Protection Ombudsman,8/5/20,Yes,7000,Acc Consulting Varsinais-Suomi,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,Unsolicited marketing SMS without prior consent,https://tietosuoja.fi/-/yritykselle-seuraamusmaksu-sahkoisen-suoramarkkinoinnin-harjoittamisesta-ilman-ennalta-annettua-suostumusta-ja-rekisteroidyn-oikeuksien-laiminlyonnista
ITALY,Italian Data Protection Authority (Garante),8/5/20,Yes,2000,School,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,Placing personal data of pupils on a public notice board.,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9445324
AUSTRIA,Austrian Data Protection Authority (dsb),8/5/20,Yes,100,Bank,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"A bank employee made a copy of the identity card of a bank client who wanted to exchange EUR 100 in foreign currency and justified this with money laundering charges. However, these only apply to a sum of EUR 1000 and above.",https://www.dsb.gv.at/documents/22758/115212/Newsletter_DSB_3_2020.pdf/90579856-6cb5-4206-823a-cacc724cf94e
DENMARK,Danish Data Protection Authority (Datatilsynet),8/4/20,Yes,20100,PrivatBo A.M.B.A.,"Art. 5 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"The company had distributed USB sticks to tenants in the context of a sale of real estate, which contained not only non-personal information on the real estate objects in question but also personal data of other persons such as lease agreements and other documents containing confidential personal data.",https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2020/aug/datatilsynet-indstiller-privatbo-til-boede
SPAIN,Spanish Data Protection Authority (aepd),8/4/20,Yes,60000,"Vodafone España, SAU","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The data subject received confirmation from Vodafone of a number porting, which the latter had never commissioned.",https://www.aepd.es/es/documento/ps-00009-2020.pdf
ITALY,Italian Data Protection Authority (Garante),8/4/20,Yes,1000,Supermarket,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,The operator of a supermarket displayed the letter of dismissal to the personnel manager on the publicly visible notice board of the supermarket.,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9445567
ITALY,Italian Data Protection Authority (Garante),8/4/20,Yes,5000,National Institute for Social Security - Department of the Province of Brescia,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,Failure to graint access to personal health data of a data subject according to Art. 15 GDPR.,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9445550
ITALY,Italian Data Protection Authority (Garante),8/4/20,Yes,15000,Mapei S.p.A.,"Art. 5 GDPR, Art. 6 GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 15 GDPR, Art. 17 GDPR",Insufficient legal basis for data processing,"The company had left the e-mail account of the data subject active even after the termination of his employment and had automatically forwarded incoming e-mails. The company did not provide sufficient information about this. In addition, the company did not react to claims for access and erasure.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9445180
GREECE,Hellenic Data Protection Authority (HDPA),8/3/20,Yes,3000,Candidate for parliamentary elections,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,"The data subject received telephone calls regarding a candidacy for parliamentary elections. When the data subject made use of its right to access according to Art. 15 GDPR, it did not receive any such information.","https://www.dpa.gr/portal/page?_pageid=33,15048&_dad=portal&_schema=PORTAL"
SPAIN,Spanish Data Protection Authority (aepd),7/31/20,Yes,1500,Tour & People Max S.L.,Art. 21 GDPR,Insufficient fulfilment of data subjects rights,"Unsolicited marketing calls though data subjects had expressed their objection to data processing. In addition to the GDPR, this was also seen as a violation of Article 48(1)(b) of General Law 9/2014 (Spanish national law).",https://www.aepd.es/es/documento/ps-00031-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),7/31/20,Yes,45000,Vodafone España SAU,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,Unlawfull processing of a telephone number for marketing purposes even after the data subject had exercised its right to erasure,https://www.aepd.es/es/documento/ps-00168-2020.pdf
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),7/30/20,Yes,2000,SC Viva Credit IFN SA,Art. 17 GDPR,Insufficient fulfilment of data subjects rights,The company had not informed the data subject within one month (or up to three months if a reason for the delay is given) of the measures taken following the request for deletion of data.,https://www.dataprotection.ro/index.jsp?page=Amenda_pentru_incalcarea_RGPD_Viva_Credit_IFN&lang=ro
ITALY,Italian Data Protection Authority (Garante),7/30/20,Yes,2000,Community of Manduria,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,The community transmitted personal data of a community employee to the press without sufficient legal basis.,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9440000
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),7/30/20,Yes,2000,Romanian Post National Company,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"Processing of personal data, namely the telephone numbers and e-mail addresses of 81 data subjects, by the Romanian Post as data controller, failing appropriate technical and organisational measures, such as pseudonymisation.",https://www.dataprotection.ro/index.jsp?page=Sanctiune_pentru_incalcarea_RGPD_Posta_Romana&lang=ro
ITALY,Italian Data Protection Authority (Garante),7/29/20,Yes,3000,Community of San Giorgio Jonico,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,Publication of personal data on the municipal website with regard to legal proceedings.,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9361186
ITALY,Italian Data Protection Authority (Garante),7/29/20,Yes,4000,Region of Campania,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,Publication of an enforcement order in civil proceedings on the Region's website. The document listed the names and place of residence and the amount of the claim.,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9440075
BELGIUM,Belgian Data Protection Authority (APD),7/28/20,Yes,3000,Communal political association,"Art. 5 GDPR, Art. 6 GDPR, Art. 14 GDPR",Insufficient legal basis for data processing,"A local political association has sent out election advertisements to the residents of the municipality for the local elections in 2018. For this purpose, the association used the electoral roll from 2012 and compared it with that of 2018, without a sufficient legal basis and without appropriate information in accordance with Art. 14 GDPR.",https://www.gegevensbeschermingsautoriteit.be/publications/beslissing-ten-gronde-nr.-39-2020.pdf
DENMARK,Danish Data Protection Authority (Datatilsynet),7/28/20,Yes,147800,Arp Hansen Hotel Group A/S,Art. 5 (1) e) GDPR,Non-compliance with general data processing principles,"During an inspection, the supervisory authority reviewed a number of IT systems to examine whether Arp-Hansen had sufficient procedures in place to ensure that personal data were not kept longer than necessary for the purposes of collection. It was found that one of the reservation systems contained a large amount of personal data that should already have been deleted in accordance with the deletion deadlines set by Arp-Hansen itself.",https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2020/jul/arp-hansen-hotel-group-a/s-indstilles-til-boede
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),7/27/20,Yes,5000,SC Cntar Tarom SA,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"Unauthorised disclosure of the data of five Tarom passengers due to inadequate technical and organisational measures for secure data processing. Among other things, the company was required to take corrective action, including training its employees and conducting risk assessment procedures.",https://www.dataprotection.ro/index.jsp?page=Sanctiune%20pentru%20incalcare%20RGPD%2027_07_20&lang=ro
SPAIN,Spanish Data Protection Authority (aepd),7/23/20,Yes,70000,"Telefónica Móviles España, SAU","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The data subject's account was debited for two telephone lines that he had never ordered or approved. This constituted unlawful processing of personal data, since the data subject's information was stored in the information systems of Telefónica Móviles España without a legal basis for invoicing.",https://www.aepd.es/es/documento/ps-00010-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),7/23/20,Yes,5000,El Real Sporting de Gijón S.A.D.,"Art. 6 GDPR, Art. 7 GDPR",Insufficient legal basis for data processing,"Fines for sending direct marketing communications without sufficient consent, as the form Real Sporting de Gijón submitted to club members did not comply with the GDPR (opt-out instead of opt-in).",https://www.aepd.es/es/documento/ps-00134-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),7/23/20,Yes,55000,"Telefónica Móviles España, SAU","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"Telefónica Móviles España has processed the personal data of a data subject, such as first and last name and bank details, in order to activate three telephone lines that were never requested. This constitutes a breach of the principle of lawfulness of the processing.",https://www.aepd.es/es/documento/ps-000114-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),7/23/20,Yes,10000,"El Periódico de Catalunya, S.L.U.","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"Following a request for erasure addressed to the company, the data subject received another newsletter from the newspaper, although El Periódico de Catalunya claimed to have granted the request. This was due to a failure of an external service provider of the company.",https://www.aepd.es/es/documento/ps-000422-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),7/23/20,Yes,75000,"Telefónica Móviles España, SAU","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,The company had carried out the number porting of his telephone line from his current company without his consent. Personal data was transferred from the former telephone operator to Telefónica Móviles España in order to change the ownership of the telephone line without sufficient legal basis.,https://www.aepd.es/es/documento/ps-00014-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),7/23/20,Yes,5000,Xfera Moviles S.A.,Art. 58 GDPR,Insufficient cooperation with supervisory authority,"Following a complaint, Xfera Móviles was requested by the AEPD to submit certain information and documents, but did not do so within the provided time limit.",https://www.aepd.es/es/documento/ps-00115-2020.pdf
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),7/23/20,Yes,560,Forbes Hungary,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,Fine imposed on Forbes Hungary for publishing a list of the 50 wealthiest Hungarians and a list of the largest family businesses without a sufficient balance of interests (Art. 6 (1) f) GDPR).,https://www.naih.hu/files/NAIH-2020-1154-9-hatarozat.pdf
SPAIN,Spanish Data Protection Authority (aepd),7/20/20,Yes,80000,Orange Espagne S.A.U.,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The company had unlawfully activated several telephone line contracts using the personal data of a data subject. This constituted an unlawful processing operation, since the data of the data subject was entered into the company's database and processed there without a legitimate legal basis.",https://www.aepd.es/es/documento/ps-00452-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),7/20/20,Yes,1500,"Comercial Vigobrandy, SL","Art. 12 GDPR, Art. 13 GDPR, Art. 14 GDPR",Insufficient fulfilment of information obligations,Installation of CCTV surveillance without adequate information by using a sign,https://www.aepd.es/es/documento/ps-00459-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),7/20/20,Yes,24000,"Banco Bilbao Vizcaya Argentaria, SA","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"BBVA had no legitimate basis for processing the data of the data subject and had therefore infringed Article 6(1) of the GDPR, since the company processed solvency and credit information files without a prior contractual relationship with the data subject.",https://www.aepd.es/es/documento/ps-00068-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),7/20/20,Yes,70000,Xfera Moviles S.A.,Art. 5 GDPR,Non-compliance with general data processing principles,"A data subject had received a call from another Xfera Móviles customer who stated that the company had charged his bank account with an invoice, disclosing the personal details of the other data subject. This was due to an error on the part of Xfera Móviles and was therefore a violation of the principles of integrity and confidentiality.",https://www.aepd.es/es/documento/ps-000450-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),7/20/20,Yes,40000,Iberia Lae SA Operadora Unipersonal,Art. 58 GDPR,Insufficient cooperation with supervisory authority,"The company did not grant the data subject access to telephone records. The applicant's request for access did not receive a reply, despite the prior order of the AEPD.",https://www.aepd.es/es/documento/ps-00060-2020.pdf
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),7/16/20,Yes,28,Google Ireland Ltd.,"Art. 12 GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,Failure to respond to a data subjects request to access information (Art. 15 GDPR - here: about data processed in the context of Google AdWords) in due time.,https://www.naih.hu/files/NAIH-2020-5553-hatarozat.pdf
POLAND,Polish National Personal Data Protection Office (UODO),7/15/20,Yes,22300,Office for geodesy and cartography,"Art. 31 GDPR, Art. 58 GDPR",Insufficient cooperation with supervisory authority,Refusal of access to the premises by the supervisory authority in the course of an audit.,https://uodo.gov.pl/decyzje/DKE.561.3.2020
BELGIUM,Belgian Data Protection Authority (APD),7/14/20,Yes,600000,Google Belgium SA,"Art. 5 GDPR, Art. 6 GDPR, Art. 17 (1) a) GDPR, Art. 12 GDPR",Insufficient fulfilment of data subjects rights,"The Belgian data protection authority has fined Google Belgium SA, a subsidiary of Google, 600,000 euros. The reasons for the fine were the rejection of an application by a data subject for dereferencing outdated articles that the data subject had considered to be damaging to its reputation, and lack of transparency in Google's form for dereferencing applications. The Belgian data protection authority found that articles relating to unfounded harassment complaints could have serious consequences for the data subjects, and natural persons were therefore entitled to have articles deleted/dereferenced. This also applies to persons who hold political office, even though these offices are generally less worthy of protection due to their public status and articles relating to political persons may therefore be stored for a longer period of time. Google's rejection of the application was therefore in breach of Article 17 of the GDPR (fine for this breach: €500,000). In addition, a further €100,000 was imposed for breach of the principle of transparency, as Google's rejection of the request for deletion was not sufficiently justified",https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-37-2020.pdf
BELGIUM,Belgian Data Protection Authority (APD),7/14/20,Yes,5000,Operator of CCTV of a residential building,"Art. 6 GDPR, Art. 7 GDPR",Insufficient legal basis for data processing,"The operator of video cameras on a residential property had installed cameras there to monitor the shared area of  two blocks of flats. The data controller argued that the owners had given their consent to this by signing the notarised purchase contracts. However, the data protection authority had denied this after checking the contracts.",https://www.gegevensbeschermingsautoriteit.be/publications/beslissing-ten-gronde-nr.-36-2020.pdf
ITALY,Italian Data Protection Authority (Garante),7/13/20,Yes,200000,Merlini s.r.l.,"Art. 5 GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 28 GDPR, Art. 29 GDPR",Insufficient legal basis for data processing,"The company had carried out telemarketing activities on behalf of Wind Tre S.p.A. through a third party provider as data processor without sufficient legal basis fpr data processing (Art. 5-7 GDPR) and without sufficient contractual agreements (Art. 28, 29 GDPR) with the third party provider.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9435774
ITALY,Italian Data Protection Authority (Garante),7/13/20,Yes,16700000,Wind Tre S.p.A.,"Art. 5 GDPR, Art. 6 GDPR, Art. 12 GDPR, Art. 24 GDPR, Art. 25 GDPR",Insufficient legal basis for data processing,"Fines for several unlawful data processing activities relating to direct marketing. Hundreds of data subjects claimed to have received unsolicited communications sent without their prior consent by SMS, e-mail, telephone calls and automated calls. The data subjects were not able to exercise their right to withdraw their consent and object to processing for direct marketing purposes because the information contained in the Data Protection Policy was incomplete in relation to the contact details. Furthermore, the data protection authority stated that the data of the data subjects were published on public telephone lists despite their objection. In addition, several apps distributed by the company were set up in such a way that the user had to give his consent to various processing activities each time he accessed them, with the possibility of withdrawing consent given only after 24 hours.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9435753
